survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,fare_log,embarked_Q,embarked_S
0,3,0,22.0,1,0,7.25,Third,man,True,Unknown,Southampton,no,False,2.1102132003465894,False,True
1,1,1,38.0,1,0,71.2833,First,woman,False,C,Cherbourg,yes,False,4.2805931204649,False,False
1,3,1,26.0,0,0,7.925,Third,woman,False,Unknown,Southampton,yes,True,2.188856327665703,False,True
1,1,1,35.0,1,0,53.1,First,woman,False,C,Southampton,yes,False,3.9908341858524357,False,True
0,3,0,35.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,0,28.0,0,0,8.4583,Third,man,True,Unknown,Queenstown,no,True,2.246892662898172,True,False
0,1,0,54.0,0,0,51.8625,First,man,True,E,Southampton,no,True,3.967694202798607,False,True
0,3,0,2.0,3,1,21.075,Third,child,False,Unknown,Southampton,no,False,3.0944457464900235,False,True
1,3,1,27.0,0,2,11.1333,Third,woman,False,Unknown,Southampton,yes,False,2.495953738718064,False,True
1,2,1,14.0,1,0,30.0708,Second,child,False,Unknown,Cherbourg,yes,False,3.436268471383741,False,False
1,3,1,4.0,1,1,16.7,Third,child,False,G,Southampton,yes,False,2.8735646395797834,False,True
1,1,1,58.0,0,0,26.55,First,woman,False,C,Southampton,yes,True,3.3160025355989236,False,True
0,3,0,20.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,0,39.0,1,5,31.275,Third,man,True,Unknown,Southampton,no,False,3.4742929367327062,False,True
0,3,1,14.0,0,0,7.8542,Third,child,False,Unknown,Southampton,no,True,2.180891922715322,False,True
1,2,1,55.0,0,0,16.0,Second,woman,False,Unknown,Southampton,yes,True,2.833213344056216,False,True
0,3,0,2.0,4,1,29.125,Third,child,False,Unknown,Queenstown,no,False,3.405355391810819,True,False
1,2,0,28.0,0,0,13.0,Second,man,True,Unknown,Southampton,yes,True,2.6390573296152584,False,True
0,3,1,31.0,1,0,18.0,Third,woman,False,Unknown,Southampton,no,False,2.9444389791664403,False,True
1,3,1,28.0,0,0,7.225,Third,woman,False,Unknown,Cherbourg,yes,True,2.1071782966514356,False,False
0,2,0,35.0,0,0,26.0,Second,man,True,Unknown,Southampton,no,True,3.295836866004329,False,True
1,2,0,34.0,0,0,13.0,Second,man,True,D,Southampton,yes,True,2.6390573296152584,False,True
1,3,1,15.0,0,0,8.0292,Third,child,False,Unknown,Queenstown,yes,True,2.2004637699272855,True,False
1,1,0,28.0,0,0,35.5,First,man,True,A,Southampton,yes,True,3.597312260588446,False,True
0,3,1,8.0,3,1,21.075,Third,child,False,Unknown,Southampton,no,False,3.0944457464900235,False,True
1,3,1,38.0,1,5,31.3875,Third,woman,False,Unknown,Southampton,yes,False,3.4777725458882283,False,True
0,3,0,28.0,0,0,7.225,Third,man,True,Unknown,Cherbourg,no,True,2.1071782966514356,False,False
0,1,0,19.0,3,2,263.0,First,man,True,C,Southampton,no,False,5.575949103146316,False,True
1,3,1,28.0,0,0,7.8792,Third,woman,False,Unknown,Queenstown,yes,True,2.1837114628556327,True,False
0,3,0,28.0,0,0,7.8958,Third,man,True,Unknown,Southampton,no,True,2.1855792552411137,False,True
0,1,0,40.0,0,0,27.7208,First,man,True,Unknown,Cherbourg,no,True,3.357621598945279,False,False
1,1,1,28.0,1,0,146.5208,First,woman,False,B,Cherbourg,yes,False,4.993969182787072,False,False
1,3,1,28.0,0,0,7.75,Third,woman,False,Unknown,Queenstown,yes,True,2.169053700369523,True,False
0,2,0,66.0,0,0,10.5,Second,man,True,Unknown,Southampton,no,True,2.4423470353692043,False,True
0,1,0,28.0,1,0,82.1708,First,man,True,Unknown,Cherbourg,no,False,4.420896324687287,False,False
0,1,0,42.0,1,0,52.0,First,man,True,Unknown,Southampton,no,False,3.970291913552122,False,True
1,3,0,28.0,0,0,7.2292,Third,man,True,Unknown,Cherbourg,yes,True,2.1076888046179385,False,False
0,3,0,21.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
